                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2174,                0.11484,                0.40136,                  4.379,              0.0033287,              0.0033287,              0.0033287
                      2,                 2.9541,                 0.4963,                0.80557,                 4.0676,              0.0065961,              0.0065961,              0.0065961
                      3,                 1.8452,                0.63843,                0.89824,                 3.9015,              0.0097975,              0.0097975,              0.0097975
                      4,                 1.5528,                0.68903,                0.90961,                 3.8161,               0.009703,               0.009703,               0.009703
                      5,                 1.2999,                0.74531,                0.92951,                 3.7559,               0.009604,               0.009604,               0.009604
                      6,                 1.1614,                0.75839,                0.93519,                 3.7341,               0.009505,               0.009505,               0.009505
                      7,                  1.046,                0.77828,                0.95111,                 3.7088,               0.009406,               0.009406,               0.009406
                      8,                0.96625,                0.80898,                0.95509,                 3.6672,               0.009307,               0.009307,               0.009307
                      9,                0.85461,                0.81239,                0.95281,                 3.6578,               0.009208,               0.009208,               0.009208
                     10,                0.78241,                0.79648,                 0.9494,                  3.666,               0.009109,               0.009109,               0.009109
                     11,                0.69026,                0.80614,                0.95338,                  3.658,                0.00901,                0.00901,                0.00901
                     12,                0.64863,                0.80273,                0.95054,                 3.6524,               0.008911,               0.008911,               0.008911
                     13,                0.74598,                0.82661,                0.95338,                 3.6389,               0.008812,               0.008812,               0.008812
                     14,                  0.701,                0.82547,                0.96362,                 3.6385,               0.008713,               0.008713,               0.008713
                     15,                0.68584,                0.81069,                0.95907,                  3.642,               0.008614,               0.008614,               0.008614
                     16,                0.63956,                  0.834,                0.96362,                 3.6218,               0.008515,               0.008515,               0.008515
                     17,                0.59625,                0.81524,                0.95395,                  3.637,               0.008416,               0.008416,               0.008416
                     18,                0.57347,                 0.8357,                0.96248,                 3.6215,               0.008317,               0.008317,               0.008317
                     19,                0.48644,                0.83968,                0.96191,                   3.62,               0.008218,               0.008218,               0.008218
